Z,Nuclide,mass,spin & parity,abundance,half-life,sig(J32),sig(J33),sig(J40)
39,Y- 85 m,1.98000E+01 keV,9/2+,,4.86H 13,,,
39,Y- 86,85.914885948 +- 0.000015226,4-,,14.74H 2,,,
39,Y- 86 m,2.18300E+02 keV,(8+),,48M 1,,,
39,Y- 87,86.910876106 +- 0.000001674,1/2-,,79.8H 3,,,
39,Y- 87 m,3.80820E+02 keV,9/2+,,13.37H 3,,,
39,Y- 88,87.909501531 +- 0.000001989,4-,,106.626D 21,,,
39,Y- 89,88.905839834 +- 0.000002646,1/2-,100,stable,XXX,XXX,XXX
39,Y- 89 m,9.08960E+02 keV,9/2+,,15.663S 5,,,
39,Y- 90,89.907143428 +- 0.000002646,2-,,64.00H 21,,,XXX
39,Y- 90 m,6.82040E+02 keV,7+,,3.19H 6,,,
39,Y- 91,90.907296273 +- 0.000003061,1/2-,,58.51D 6,XXX,XXX,XXX
39,Y- 91 m,5.55570E+02 keV,9/2+,,49.71M 4,,,
39,Y- 92,91.908944182 +- 0.000009928,2-,,3.54H 1,,,
39,Y- 93,92.909576914 +- 0.000011397,1/2-,,10.18H 8,,,
39,Y- 93 m,7.58721E+02 keV,7/2+,,0.82S 4,,,
39,Y- 94,93.911590463 +- 0.000007648,2-,,18.7M 1,,,
39,Y- 95,94.912814101 +- 0.000007492,1/2-,,10.3M 1,,,
39,Y- 96,95.915893495 +- 0.000007033,0-,,5.34S 5,,,
39,Y- 96 m,1.14000E+03 keV,(8+),,9.6S 2,,,
39,Y- 97,96.918270732 +- 0.000007677,(1/2-),,3.75S 3,,,
39,Y- 97 m,6.67500E+02 keV,(9/2)+,,1.17S 3,,,
39,Y- 97 n,3.52330E+03 keV,(27/2-),,142MS 8,,,
39,Y- 98,97.922378718 +- 0.000008907,(0)-,,0.548S 2,,,
39,Y- 98,,"(4,5)",,2.0S 2,,,
39,Y- 99,98.924144549 +- 0.000007583,(5/2+),,1.478S 7,,,
39,Y-100,99.927711235 +- 0.000012292,"1-,2-",,735MS 4,,,
39,Y-100 m,1.45000E+02 keV,"(3,4,5)",,0.94S 3,,,
39,Y-101,100.930144222 +- 0.000008053,(5/2+),,0.45S 2,,,
39,Y-102,101.934283 +- 0.000215,,,0.36S 4,,,
39,Y-102,,,,0.30S 1,,,
39,Y-103,102.937197000 +- 0.000106000,(5/2+),,0.23S 2,,,
39,Y-104,103.941960 +- 0.000430,,,180MS 60,,,
39,Y-105,104.945440 +- 0.000540,,,unknown,,,
39,Y-106,105.950560 +- 0.000540,,,unknown,,,
39,Y-107,106.954520 +- 0.000540,,,unknown,,,
39,Y-108,107.959960 +- 0.000640,,,unknown,,,
40,Zr-nat,91.224 +- 0.002,,,,XXX,,XXX
40,Zr- 78,77.955660 +- 0.000540,,,unknown,,,
40,Zr- 79,78.949480 +- 0.000430,,,56MS 30,,,
40,Zr- 80,79.940400000 +- 0.001600000,0+,,4.6S 6,,,
40,Zr- 81,80.937308446 +- 0.000176779,(3/2-),,5.5S 4,,,
40,Zr- 82,81.931353 +- 0.000215,0+,,32S 5,,,
40,Zr- 83,82.929240763 +- 0.000007082,(1/2-),,41.6S 24,,,
40,Zr- 84,83.923325505 +- 0.000006112,0+,,25.9M 7,,,
40,Zr- 85,84.921443046 +- 0.000007082,7/2+,,7.86M 4,,,
40,Zr- 85 m,2.92200E+02 keV,(1/2-),,10.9S 3,,,
40,Zr- 86,85.916296762 +- 0.000003861,0+,,16.5H 1,,,
40,Zr- 87,86.914816517 +- 0.000004745,(9/2)+,,1.68H 1,,,
40,Zr- 87 m,3.35840E+02 keV,(1/2)-,,14.0S 2,,,
40,Zr- 88,87.910220049 +- 0.000006029,0+,,83.4D 3,,,
40,Zr- 89,88.908881188 +- 0.000003902,9/2+,,78.41H 12,,,
40,Zr- 89 m,5.87830E+02 keV,1/2-,,4.161M 17,,,
40,Zr- 90,89.904696939 +- 0.000002396,0+,51.45,stable,XXX,XXX,XXX
40,Zr- 90 m,2.31899E+03 keV,5-,,809.2MS 20,,,
40,Zr- 91,90.905638346 +- 0.000002374,5/2+,11.22,stable,XXX,XXX,XXX
40,Zr- 92,91.905033433 +- 0.000002373,0+,17.15,stable,XXX,XXX,XXX
40,Zr- 93,92.906468683 +- 0.000002366,5/2+,,1.61E+6Y 10,XXX,XXX,XXX
40,Zr- 94,93.906309036 +- 0.000002440,0+,17.38,stable,XXX,XXX,XXX
40,Zr- 95,94.908036647 +- 0.000002384,5/2+,,64.032D 6,XXX,XXX,XXX
40,Zr- 96,95.908268090 +- 0.000002672,0+,2.80,3.9E+19Y 9,XXX,XXX,XXX
40,Zr- 97,96.910947832 +- 0.000002664,1/2+,,16.744H 7,,,
40,Zr- 98,97.912725495 +- 0.000009453,0+,,30.7S 4,,,
40,Zr- 99,98.916664513 +- 0.000011407,(1/2+),,2.1S 1,,,
40,Zr-100,99.917997918 +- 0.000008990,0+,,7.1S 4,,,
40,Zr-101,100.921445154 +- 0.000009215,(3/2+),,2.3S 1,,,
40,Zr-102,101.923139152 +- 0.000010155,0+,,2.9S 2,,,
40,Zr-103,102.927187138 +- 0.000010252,(5/2-),,1.3S 1,,,
40,Zr-104,103.929432125 +- 0.000010348,0+,,1.2S 3,,,
40,Zr-105,104.934004611 +- 0.000013270,,,0.6S 1,,,
40,Zr-106,105.936620 +- 0.000320,0+,,unknown,,,
40,Zr-107,106.941740 +- 0.000320,,,unknown,,,
40,Zr-108,107.944870 +- 0.000430,,,unknown,,,
40,Zr-109,108.950410 +- 0.000540,,,unknown,,,
40,Zr-110,109.953960 +- 0.000640,,,unknown,,,
41,Nb-nat,92.90638 +- 0.00002,,,,,,XXX
41,Nb- 81,80.949300 +- 0.000430,,,unknown,,,
41,Nb- 82,81.943960 +- 0.000320,0+,,50MS 5,,,
41,Nb- 83,82.937292344 +- 0.000322141,(5/2+),,4.1S 3,,,
41,Nb- 84,83.934490 +- 0.000322,3+,,9.5S 10,,,
41,Nb- 85,84.928845838 +- 0.000004400,(9/2+),,20.9S 7,,,
41,Nb- 85 m,7.59010E+02 keV,(1/2-),,12S 5,,,
41,Nb- 86,85.925781388 +- 0.000006112,(6+),,88S 1,,,
41,Nb- 86,,,,56S 1,,,
41,Nb- 87,86.920692330 +- 0.000007472,(1/2-),,3.73M 9,,,
41,Nb- 87,,(9/2+),,2.6M 1,,,
41,Nb- 88,87.918222222 +- 0.000055648,(8+),,14.55M 6,,,
41,Nb- 88,,(4-),,7.78M 5,,,
41,Nb- 89,88.913418245 +- 0.000028771,(9/2+),,2.03H 7,,,
41,Nb- 89,,(1/2-),,66M 2,,,
41,Nb- 90,89.911257368 +- 0.000004917,8+,,14.60H 5,,,
41,Nb- 90 m,1.24600E+02 keV,4-,,18.81S 6,,,
41,Nb- 91,90.906988822 +- 0.000003965,9/2+,,6.8E+2Y 13,,,
41,Nb- 91 m,1.04600E+02 keV,1/2-,,60.86D 22,,,
41,Nb- 92,91.907186810 +- 0.000002907,(7)+,,3.47E+7Y 24,,,
41,Nb- 92 m,1.35500E+02 keV,(2)+,,10.15D 2,,,
41,Nb- 93,92.906371673 +- 0.000002427,9/2+,100,stable,XXX,XXX,XXX
41,Nb- 93 m,3.07700E+01 keV,1/2-,,16.13Y 14,,,
41,Nb- 94,93.907277506 +- 0.000002427,6+,,2.03E+4Y 16,XXX,XXX,XXX
41,Nb- 94 m,4.08920E+01 keV,3+,,6.263M 4,,,
41,Nb- 95,94.906831005 +- 0.000001668,9/2+,,34.991D 6,XXX,XXX,XXX
41,Nb- 95 m,2.35690E+02 keV,1/2-,,3.61D 3,,,
41,Nb- 96,95.908095905 +- 0.000003784,6+,,23.35H 5,,,
41,Nb- 97,96.908093553 +- 0.000002415,9/2+,,72.1M 7,,,
41,Nb- 97 m,7.43400E+02 keV,1/2-,,52.7S 18,,,
41,Nb- 98,97.910323116 +- 0.000005996,1+,,2.86S 6,,,
41,Nb- 98 m,8.40000E+01 keV,(5+),,51.3M 4,,,
41,Nb- 99,98.911614948 +- 0.000013058,9/2+,,15.0S,,,
41,Nb- 99 m,3.65290E+02 keV,1/2-,,2.6M 2,,,
41,Nb-100,99.914324135 +- 0.000008966,1+,,1.5S 2,,,
41,Nb-100 m,3.14000E+02 keV,(5+),,2.99S 11,,,
41,Nb-101,100.915311979 +- 0.000004534,(5/2+),,7.1S 3,,,
41,Nb-102,101.918073552 +- 0.000003793,1+,,1.3S 2,,,
41,Nb-102,,,,4.3S 4,,,
41,Nb-103,102.919459008 +- 0.000004711,(5/2+),,1.5S 2,,,
41,Nb-104,103.922888925 +- 0.000003937,(1+),,4.8S 4,,,
41,Nb-104 m,2.15000E+02 keV,,,0.94S,,,
41,Nb-105,104.924948284 +- 0.000004801,(5/2+),,2.95S 6,,,
41,Nb-106,105.928933548 +- 0.000004890,,,0.93S 4,,,
41,Nb-107,106.931595513 +- 0.000008861,,,0.30S 3,,,
41,Nb-108,107.936055000 +- 0.000112000,(2+),,0.193S 17,,,
41,Nb-109,108.939040 +- 0.000320,,,0.19S 3,,,
41,Nb-110,109.943860 +- 0.000320,,,0.17S 2,,,
41,Nb-111,110.947370 +- 0.000430,,,unknown,,,
41,Nb-112,111.952290 +- 0.000540,,,unknown,,,
41,Nb-113,112.956390 +- 0.000540,,,unknown,,,
42,Mo-nat,95.96 +- 0.02,,,,XXX,,XXX
42,Mo- 83,82.949880 +- 0.000430,,,23MS 19,,,
42,Mo- 84,83.941490 +- 0.000430,0+,,3.8MS 9,,,
42,Mo- 85,84.938260738 +- 0.000017000,1/2-,,3.2S 2,,,
42,Mo- 86,85.931174817 +- 0.000004000,0+,,19.6S 11,,,
42,Mo- 87,86.928198287 +- 0.000004200,(7/2+),,13.4S 4,,,
42,Mo- 88,87.921967781 +- 0.000004100,0+,,8.0M 2,,,
42,Mo- 89,88.919468151 +- 0.000004200,(9/2+),,2.11M 10,,,
42,Mo- 89 m,3.87300E+02 keV,(1/2-),,190MS 15,,,
42,Mo- 90,89.913929419 +- 0.000006528,0+,,5.67H 5,,,
42,Mo- 91,90.911745499 +- 0.000011975,9/2+,,15.49M 1,,,
42,Mo- 91 m,6.52900E+02 keV,1/2-,,64.6S 6,,,
42,Mo- 92,91.906806296 +- 0.000003999,0+,14.53,stable,XXX,XXX,XXX
42,Mo- 93,92.906807914 +- 0.000003999,5/2+,,4.0E+3Y 8,,,
42,Mo- 93 m,2.42486E+03 keV,21/2+,,6.85H 7,,,
42,Mo- 94,93.905083524 +- 0.000001591,0+,9.15,stable,XXX,XXX,XXX
42,Mo- 95,94.905837386 +- 0.000001589,5/2+,15.84,stable,XXX,XXX,XXX
42,Mo- 96,95.904674734 +- 0.000001588,0+,16.67,stable,XXX,XXX,XXX
42,Mo- 97,96.906016735 +- 0.000001596,5/2+,9.60,stable,XXX,XXX,XXX
42,Mo- 98,97.905403440 +- 0.000001597,0+,24.39,stable,XXX,XXX,XXX
42,Mo- 99,98.907707149 +- 0.000001603,1/2+,,65.94H 1,XXX,XXX,XXX
42,Mo-100,99.907473552 +- 0.000002137,0+,9.82,1.2E+19Y +3 -2,XXX,XXX,XXX
42,Mo-101,100.910343218 +- 0.000002138,1/2+,,14.61M 3,,,
42,Mo-102,101.910280781 +- 0.000009248,0+,,11.3M 2,,,
42,Mo-103,102.913075038 +- 0.000010252,(3/2+),,67.5S 15,,,
42,Mo-104,103.913730897 +- 0.000009964,0+,,60S 2,,,
42,Mo-105,104.916965049 +- 0.000010127,(5/2-),,35.6S 16,,,
42,Mo-106,105.918255842 +- 0.000010155,0+,,8.73S 12,,,
42,Mo-107,106.922102228 +- 0.000010252,(5/2+),,3.5S 5,,,
42,Mo-108,107.924029814 +- 0.000010252,0+,,1.09S 2,,,
42,Mo-109,108.928420455 +- 0.000012292,(7/2-),,0.53S 6,,,
42,Mo-110,109.930699942 +- 0.000026136,0+,,0.30S 4,,,
42,Mo-111,110.935520 +- 0.000210,,,unknown,,,
42,Mo-112,111.938200 +- 0.000320,0+,,unknown,,,
42,Mo-113,112.943170 +- 0.000320,,,unknown,,,
42,Mo-114,113.946330 +- 0.000430,,,unknown,,,
42,Mo-115,114.951960 +- 0.000430,,,unknown,,,
43,Tc- 85,84.950580 +- 0.000430,,,unknown,,,
43,Tc- 86,85.944930 +- 0.000320,(0+),,54MS 7,,,
43,Tc- 87,86.938067187 +- 0.000004500,,,2.18S 16,,,
43,Tc- 88,87.933784781 +- 0.000004100,(6+),,6.4S 8,,,
43,Tc- 88,,(3+),,5.8S 2,,,
43,Tc- 89,88.927648651 +- 0.000004100,(9/2+),,12.8S 9,,,
43,Tc- 89,,(1/2-),,12.9S 8,,,
43,Tc- 90,89.924075001 +- 0.000003718,1+,,8.7S 2,,,
43,Tc- 90 m,5.00000E+02 keV,(6+),,49.2S 4,,,
43,Tc- 91,90.918424354 +- 0.000003534,(9/2)+,,3.14M 2,,,
43,Tc- 91 m,1.39300E+02 keV,(1/2)-,,3.3M 1,,,
43,Tc- 92,91.915270758 +- 0.000004047,(8)+,,4.25M 15,,,
43,Tc- 93,92.910244289 +- 0.000004141,9/2+,,2.75H 5,,,
43,Tc- 93 m,3.92290E+02 keV,1/2-,,43.5M 10,,,
43,Tc- 94,93.909652257 +- 0.000004648,7+,,293M 1,,,
43,Tc- 94 m,7.30000E+01 keV,(2)+,,52.0M 10,,,
43,Tc- 95,94.907652232 +- 0.000005678,9/2+,,20.0H 1,,,
43,Tc- 95 m,3.89500E+01 keV,1/2-,,61D 2,,,
43,Tc- 96,95.907866640 +- 0.000005747,7+,,4.28D 7,,,
43,Tc- 96 m,3.42300E+01 keV,4+,,51.5M 10,,,
43,Tc- 97,96.906360621 +- 0.000004695,9/2+,,2.6E+6Y 4,,,
43,Tc- 97 m,9.65000E+01 keV,1/2-,,90.1D 10,,,
43,Tc- 98,97.907211555 +- 0.000003930,(6)+,,4.2E+6Y 3,,,
43,Tc- 99,98.906250394 +- 0.000001818,9/2+,,2.111E+5Y 12,XXX,XXX,XXX
43,Tc- 99 m,1.42683E+02 keV,1/2-,,6.015H 9,,,
43,Tc-100,99.907653428 +- 0.000002111,1+,,15.46S 19,,,
43,Tc-101,100.907311191 +- 0.000025853,9/2+,,14.2M 1,,,
43,Tc-102,101.909211290 +- 0.000010001,1+,,5.28S 15,,,
43,Tc-102,,"(4,5)",,4.35M 7,,,
43,Tc-103,102.909177635 +- 0.000010682,5/2+,,54.2S 8,,,
43,Tc-104,103.911422798 +- 0.000026807,(3+),,18.3M 3,,,
43,Tc-105,104.911653349 +- 0.000037910,(3/2-),,7.6M 1,,,
43,Tc-106,105.914359324 +- 0.000013419,"(1,2)",,35.6S 6,,,
43,Tc-107,106.915462180 +- 0.000009466,(3/2-),,21.2S 2,,,
43,Tc-108,107.918497274 +- 0.000009560,(2)+,,5.17S 7,,,
43,Tc-109,108.920257922 +- 0.000010507,(5/2-),,0.86S 8,,,
43,Tc-110,109.923745116 +- 0.000010317,(2+),,0.92S 3,,,
43,Tc-111,110.925902854 +- 0.000011463,"(7/2+,9/2+)",,290MS 20,,,
43,Tc-112,111.929947782 +- 0.000006274,,,0.28S 3,,,
43,Tc-113,112.932498000 +- 0.000106000,,,170MS 20,,,
43,Tc-114,113.936820 +- 0.000210,,,150MS 30,,,
43,Tc-115,114.939820 +- 0.000320,,,unknown,,,
43,Tc-116,115.944760 +- 0.000320,,,unknown,,,
43,Tc-117,116.948060 +- 0.000430,,,unknown,,,
43,Tc-118,117.952990 +- 0.000430,,,unknown,,,
44,Ru-nat,101.07 +- 0.02,,,,,,XXX
44,Ru- 87,86.950690 +- 0.000430,,,unknown,,,
44,Ru- 88,87.941600 +- 0.000320,0+,,1.3S 3,,,
44,Ru- 89,88.937620 +- 0.000320,"5/2+,7/2",,1.2S 2,,,
44,Ru- 90,89.930344771 +- 0.000004322,0+,,11S 3,,,
44,Ru- 91,90.926742643 +- 0.000003077,(9/2+),,9S 1,,,
44,Ru- 91,,(1/2-),,7.6S 8,,,
44,Ru- 92,91.920234375 +- 0.000002917,0+,,3.65M 5,,,
44,Ru- 93,92.917107375 +- 0.000004300,(9/2)+,,59.7S 6,,,
44,Ru- 93 m,7.34400E+02 keV,(1/2)-,,10.8S 3,,,
44,Ru- 94,93.911347182 +- 0.000004156,0+,,51.8M 6,,,
44,Ru- 95,94.910404380 +- 0.000010322,5/2+,,1.643H 14,,,
44,Ru- 96,95.907588876 +- 0.000001593,0+,5.54,stable,XXX,XXX,XXX
44,Ru- 97,96.907545741 +- 0.000003361,5/2+,,2.9D 1,,,
44,Ru- 98,97.905286743 +- 0.000006939,0+,1.87,stable,XXX,XXX,XXX
44,Ru- 99,98.905935826 +- 0.000002130,5/2+,12.76,stable,XXX,XXX,XXX
44,Ru-100,99.904216001 +- 0.000002130,0+,12.60,stable,XXX,XXX,XXX
44,Ru-101,100.905578619 +- 0.000002135,5/2+,17.06,stable,XXX,XXX,XXX
44,Ru-102,101.904345844 +- 0.000002135,0+,31.55,stable,XXX,XXX,XXX
44,Ru-103,102.906320378 +- 0.000002139,3/2+,,39.26D 2,XXX,XXX,XXX
44,Ru-103 m,2.38200E+02 keV,11/2-,,1.69MS 7,,,
44,Ru-104,103.905428985 +- 0.000003223,0+,18.62,stable,XXX,XXX,XXX
44,Ru-105,104.907749149 +- 0.000003225,3/2+,,4.44H 2,,,XXX
44,Ru-106,105.907330830 +- 0.000006374,0+,,371.8D 18,XXX,XXX,XXX
44,Ru-107,106.909973580 +- 0.000009466,(5/2)+,,3.75M 5,,,
44,Ru-108,107.910189574 +- 0.000009466,0+,,4.55M 5,,,
44,Ru-109,108.913327522 +- 0.000009748,(5/2+),,34.5S 5,,,
44,Ru-110,109.914041768 +- 0.000009755,0+,,11.6S 16,,,
44,Ru-111,110.917571454 +- 0.000010507,(5/2+),,2.12S 7,,,
44,Ru-112,111.918810847 +- 0.000010412,0+,,1.75S 7,,,
44,Ru-113,112.922839663 +- 0.000038349,(5/2+),,0.9S,,,
44,Ru-113 m,1.30000E+02 keV,(11/2-),,510MS 30,,,
44,Ru-114,113.924620589 +- 0.000013394,0+,,0.53S 6,,,
44,Ru-115,114.928942576 +- 0.000095029,(1/2+),,0.74S 8,,,
44,Ru-116,115.931120 +- 0.000210,0+,,unknown,,,
44,Ru-117,116.936060 +- 0.000210,,,unknown,,,
44,Ru-118,117.938530 +- 0.000320,0+,,unknown,,,
44,Ru-119,118.943570 +- 0.000320,,,unknown,,,
44,Ru-120,119.946310 +- 0.000430,,,unknown,,,
45,Rh-nat,102.90550 +- 0.00002,,,,,,XXX
45,Rh- 89,88.950584 +- 0.000385,,,unknown,,,
45,Rh- 90,89.944220 +- 0.000430,,,1.1S 3,,,
45,Rh- 90,,,,15MS 7,,,
45,Rh- 91,90.936880 +- 0.000430,(9/2+),,1.47S 22,,,
45,Rh- 92,91.932367695 +- 0.000004700,6+ GT,,4.66S 25,,,
45,Rh- 92,,(2+),,0.53S 37,,,
45,Rh- 93,92.925907193 +- 0.000003298,(9/2+),,11.9S 7,,,
45,Rh- 94,93.921730655 +- 0.000004600,(4+),,70.6S 6,,,
45,Rh- 94,,(8+),,25.8S 2,,,
45,Rh- 95,94.915896024 +- 0.000004500,(9/2)+,,5.02M 10,,,
45,Rh- 95 m,5.43300E+02 keV,(1/2)-,,1.96M 4,,,
45,Rh- 96,95.914451671 +- 0.000010853,6+,,9.90M 10,,,
45,Rh- 96 m,5.20000E+01 keV,3+,,1.51M 2,,,
45,Rh- 97,96.911327837 +- 0.000038104,9/2+,,30.7M 6,,,
45,Rh- 97 m,2.58840E+02 keV,(1/2)-,,46.2M 16,,,
45,Rh- 98,97.910707769 +- 0.000012782,(2)+,,8.72M 12,,,
45,Rh- 98,,(5+),,3.6M 2,,,
45,Rh- 99,98.908129393 +- 0.000007456,1/2-,,16.1D 2,,,
45,Rh- 99 m,6.43000E+01 keV,9/2+,,4.7H 1,,,
45,Rh-100,99.908118697 +- 0.000019534,1-,,20.8H 1,,,
45,Rh-100 m,1.07600E+02 keV,(5+),,4.6M 2,,,
45,Rh-101,100.906159636 +- 0.000006474,1/2-,,3.3Y 3,,,
45,Rh-101 m,1.57410E+02 keV,9/2+,,4.34D 1,,,
45,Rh-102,101.906839562 +- 0.000005293,"(1-,2-)",,207D 3,,,
45,Rh-102 m,1.40750E+02 keV,6(+),,3.742Y 10,,,
45,Rh-103,102.905500586 +- 0.000002988,1/2-,100,stable,XXX,XXX,XXX
45,Rh-103 m,3.97550E+01 keV,7/2+,,56.114M 20,,,
45,Rh-104,103.906651813 +- 0.000002989,1+,,42.3S 4,,,
45,Rh-104 m,1.28968E+02 keV,5+,,4.34M 3,,,
45,Rh-105,104.905690296 +- 0.000003885,7/2+,,35.36H 6,XXX,XXX,XXX
45,Rh-105 m,1.29570E+02 keV,1/2-,,40S AP,,,
45,Rh-106,105.907288528 +- 0.000006373,1+,,30.07S 35,,,
45,Rh-106 m,1.37000E+02 keV,(6)+,,131M 2,,,
45,Rh-107,106.906751276 +- 0.000013234,7/2+,,21.7M 4,,,
45,Rh-108,107.908714860 +- 0.000015185,1+,,16.8S 5,,,
45,Rh-108,,(5+),,6.0M 3,,,
45,Rh-109,108.908737285 +- 0.000006471,7/2+,,80S 2,,,
45,Rh-110,109.911063692 +- 0.000020117,4 GE,,28.5S 15,,,
45,Rh-110,,1+,,3.2S 2,,,
45,Rh-111,110.911642707 +- 0.000007673,(7/2+),,11S 1,,,
45,Rh-112,111.914402264 +- 0.000047359,1+,,2.1S 3,,,
45,Rh-112,,4 GE,,6.8S 2,,,
45,Rh-113,112.915439746 +- 0.000007959,(7/2+),,2.80S 12,,,
45,Rh-114,113.918718534 +- 0.000076833,1+,,1.85S 5,,,
45,Rh-114,,4 GT,,1.85S 5,,,
45,Rh-115,114.920311176 +- 0.000008151,(7/2+),,0.99S 5,,,
45,Rh-116,115.924056134 +- 0.000070361,1+,,0.68S 6,,,
45,Rh-116,,(6-),,0.57S 5,,,
45,Rh-117,116.926035809 +- 0.000009790,(7/2+),,0.44S 4,,,
45,Rh-118,117.930340630 +- 0.000026107,,,266MS +22 -21,,,
45,Rh-119,118.932530 +- 0.000210,,,unknown,,,
45,Rh-120,119.936860 +- 0.000210,,,unknown,,,
45,Rh-121,120.939420 +- 0.000320,,,unknown,,,
45,Rh-122,121.943750 +- 0.000320,,,unknown,,,
46,Pd-nat,106.42 +- 0.01,,,,,,XXX
46,Pd- 91,90.950320 +- 0.000540,,,unknown,,,
46,Pd- 92,91.940880 +- 0.000540,0+,,1.1S 3,,,
46,Pd- 93,92.936520 +- 0.000430,"(7/2+,9/2+)",,0.79S 17,,,
46,Pd- 94,93.929036224 +- 0.000004867,0+,,9.0S 5,,,
46,Pd- 95,94.924888346 +- 0.000004962,9/2+,,unknown,,,
46,Pd- 95 m,1.87600E+03 keV,21/2+,,13.3S 3,,,
46,Pd- 96,95.918213689 +- 0.000004773,0+,,122S 2,,,
46,Pd- 97,96.916471988 +- 0.000005200,(5/2+),,3.10M 9,,,
46,Pd- 98,97.912698809 +- 0.000004962,0+,,17.7M 3,,,
46,Pd- 99,98.911771237 +- 0.000005434,(5/2)+,,21.4M 2,,,
46,Pd-100,99.908505561 +- 0.000019048,0+,,3.63D 9,,,
46,Pd-101,100.908285238 +- 0.000005189,5/2+,,8.47H 6,,,
46,Pd-102,101.905604763 +- 0.000003188,0+,1.02,stable,XXX,XXX,XXX
46,Pd-103,102.906083533 +- 0.000003094,5/2+,,16.991D 19,,,
46,Pd-104,103.904032393 +- 0.000003707,0+,11.14,stable,XXX,XXX,XXX
46,Pd-105,104.905081479 +- 0.000003630,5/2+,22.33,stable,XXX,XXX,XXX
46,Pd-106,105.903482281 +- 0.000003625,0+,27.33,stable,XXX,XXX,XXX
46,Pd-107,106.905130030 +- 0.000003626,5/2+,,6.5E+6Y 3,XXX,XXX,XXX
46,Pd-107 m,2.14600E+02 keV,11/2-,,21.3S,,,
46,Pd-108,107.903895105 +- 0.000003030,0+,26.46,stable,XXX,XXX,XXX
46,Pd-109,108.905953855 +- 0.000003026,5/2+,,13.7012H 24,,,
46,Pd-109 m,1.88900E+02 keV,11/2-,,4.69M 1,,,
46,Pd-110,109.905154035 +- 0.000007176,0+,11.72,stable,XXX,XXX,XXX
46,Pd-111,110.907671515 +- 0.000007189,5/2+,,23.4M 2,,,
46,Pd-111 m,1.72200E+02 keV,11/2-,,5.5H 1,,,
46,Pd-112,111.907328136 +- 0.000007334,0+,,21.03H 5,,,
46,Pd-113,112.910261446 +- 0.000007769,(5/2+),,93S 5,,,
46,Pd-113 m,8.13000E+01 keV,(9/2-),,0.3S 1,,,
46,Pd-114,113.910368961 +- 0.000007769,0+,,2.42M 6,,,
46,Pd-115,114.913658838 +- 0.000014670,(5/2+),,25S 2,,,
46,Pd-115 m,8.93000E+01 keV,(11/2-),,50S 3,,,
46,Pd-116,115.914297394 +- 0.000007959,0+,,11.8S 4,,,
46,Pd-117,116.917955122 +- 0.000008043,(5/2+),,4.3S 3,,,
46,Pd-117 m,2.03200E+02 keV,(11/2-),,19.1MS 7,,,
46,Pd-118,117.919064330 +- 0.000008246,0+,,1.9S 1,,,
46,Pd-119,118.923340648 +- 0.000009112,,,0.92S 13,,,
46,Pd-120,119.924519163 +- 0.000009984,0+,,0.5S 1,,,
46,Pd-121,120.928870 +- 0.000540,,,unknown,,,
46,Pd-122,121.930550 +- 0.000430,0+,,unknown,,,
46,Pd-123,122.934930 +- 0.000640,,,unknown,,,
46,Pd-124,123.936880 +- 0.000540,0+,,unknown,,,
46,Pd-125,,,,unknown,,,
46,Pd-126,,,,unknown,,,
47,Ag-nat,107.8682 +- 0.0002,,,,,,XXX
47,Ag- 93,92.950330 +- 0.000540,,,unknown,,,
47,Ag- 94,93.943733 +- 0.000689,(0+),,26MS +26 -9,,,
47,Ag- 94,,(7+),,0.55S 6,,,
47,Ag- 94 m,5.40000E+03 keV,(21+),,0.40S 4,,,
47,Ag- 94 n,6.67000E+03 keV,(21+),,0.40S 4,,,
47,Ag- 95,94.936020 +- 0.000430,,,1.74S 13,,,
47,Ag- 95 m,3.44000E+02 keV,(1/2-),,500MS LT,,,
47,Ag- 95 n,2.53100E+03 keV,(23/2+),,16MS LT,,,
47,Ag- 95 o,4.85900E+03 keV,(37/2+),,40MS LT,,,
47,Ag- 96,95.930623945 +- 0.000064569,(8+),,4.40S 6,,,
47,Ag- 96,,(2+),,6.9S 6,,,
47,Ag- 97,96.923965326 +- 0.000118204,9/2+,,25.3S 3,,,
47,Ag- 98,97.921576568 +- 0.000040000,,,46.7S 9,,,
47,Ag- 99,98.917645768 +- 0.000006725,(9/2)+,,124S 3,,,
47,Ag- 99 m,5.06200E+02 keV,(1/2-),,10.5S 5,,,
47,Ag-100,99.916115446 +- 0.000005367,(5)+,,2.01M 9,,,
47,Ag-100 m,1.55000E+01 keV,(2)+,,2.24M 13,,,
47,Ag-101,100.912683954 +- 0.000005193,9/2+,,11.1M 3,,,
47,Ag-101 m,2.74100E+02 keV,(1/2-),,3.10S 10,,,
47,Ag-102,101.911704535 +- 0.000008774,5+,,12.9M 3,,,
47,Ag-102 m,9.20000E+00 keV,2+,,7.7M 5,,,
47,Ag-103,102.908963114 +- 0.000004129,7/2+,,65.7M 7,,,
47,Ag-103 m,1.34400E+02 keV,1/2-,,5.7S 3,,,
47,Ag-104,103.908625717 +- 0.000005673,5+,,69.2M 10,,,
47,Ag-104 m,7.00000E+00 keV,2+,,33.5M 20,,,
47,Ag-105,104.906525637 +- 0.000004869,1/2-,,41.29D 7,,,
47,Ag-105 m,2.54720E+01 keV,7/2+,,7.23M 16,,,
47,Ag-106,105.906665443 +- 0.000004648,1+,,23.96M 4,,,
