,Protons,Protons_log,Protons_reciprocal,Neutrons,Neutrons_log,Neutrons_reciprocal,Neutrons_power,Atomic Weight,Atomic Weight_log,Atomic Weight_reciprocal,Atomic Weight_power,Abs(Z-N)/Atomic Weight,Abs(Z-N)/Atomic Weight_reciprocal,Z-N,Z-N_log,Z-N_reciprocal,Z/N,Z/N_power,Even Z,Even N,Even N-Z,Last Shell Filled,Last Shell Fill Ratio,Last Orbital Label Encoded (Complex),Last Orbital Label Encoded (Simple),Last Principal Quantum Number,Last Azimuthal Quantum Number Encoded,Is Magic Number,Magic Number,Closest Magic Number,Distance To Magic Number,Distance To Magic Number_abs,Half-life,Half-life Magnitude,Half-life Time,Artificial
10,2,1.0986122886681096,0.5,4,1.6094379124341005,0.25,16,6.018889124,1.948604961071302,0.166143615441021,36.227026287005486,0.3322872308820421,3.009444562,-2,0.0,-0.5,0.5,0.25,0,0,0,1,1.0,10,1,1,0,True,2,2,0,0,0.8067000000000001,-1.0,2.968904018980988,0
11,2,1.0986122886681096,0.5,5,1.791759469228055,0.2,25,7.028020618,2.08293799919188,0.142287573465397,49.39307380703311,0.426862720396191,2.3426735393333336,-3,0.0,-0.3333333333333333,0.4,0.16,0,1,2,1,1.0,10,1,1,0,True,2,2,0,0,3.0413333333330007e-21,-21.0,3.041333333333e-15,0
12,2,1.0986122886681096,0.5,6,1.9459101490553128,0.1666666666666666,36,8.033921897,2.20098659174452,0.1244722083212455,64.54390104709609,0.497888833284982,2.00848047425,-4,0.0,-0.25,0.3333333333333333,0.1111111111111111,0,0,0,1,1.0,10,1,1,0,True,2,2,0,0,0.119,-1.0,2.6918489871308435,0
13,2,1.0986122886681096,0.5,7,2.079441541679836,0.1428571428571428,49,9.043950286,2.306970491661424,0.1105711518060859,81.79303677563946,0.5528557590304295,1.8087900572,-5,0.0,-0.2,0.2857142857142857,0.0816326530612244,0,1,2,1,1.0,10,1,1,0,True,2,2,0,0,7e-21,-21.0,7.000000000000001e-15,0
14,2,1.0986122886681096,0.5,8,2.19722457733622,0.125,64,10.052398837,2.402647493724552,0.0994787429562868,101.05072237811896,0.5968724577377211,1.6753998061666668,-6,0.0,-0.1666666666666666,0.25,0.0625,0,0,0,1,1.0,10,1,1,0,True,2,2,0,0,1.520666666667e-21,-21.0,1.5206666666669999e-15,0
15,3,1.3862943611198906,0.3333333333333333,1,0.6931471805599453,1.0,1,4.027185558,1.6148602963029188,0.2483123723995039,16.21822351856377,0.4966247447990078,2.013592779,2,1.0986122886681096,0.5,3.0,9.0,1,1,3,0,0.5,20,2,2,0,False,0,2,1,1,7.565505804312001e-23,-23.0,7.565505804312002e-17,0
16,3,1.3862943611198906,0.3333333333333333,2,1.0986122886681096,0.5,4,5.0125378,1.7938469223144038,0.1994997424258825,25.125535196428835,0.1994997424258825,5.0125378,1,0.6931471805599453,1.0,1.5,2.25,1,0,1,0,0.5,20,2,2,0,False,0,2,1,1,3.041333333333e-22,-22.0,3.041333333333e-16,0
17,3,1.3862943611198906,0.3333333333333333,3,1.3862943611198906,0.3333333333333333,9,6.015122794,1.9480682178916,0.1662476451848141,36.181702226898366,0.0,0.0,0,0.0,0.0,1.0,1.0,1,1,3,0,0.5,20,2,2,0,False,0,2,1,1,2.4869290000029843e+62,62.0,8.0,0
18,3,1.3862943611198906,0.3333333333333333,4,1.6094379124341005,0.25,16,7.016004548,2.0814401117076176,0.1425312645051039,49.22431981755668,0.1425312645051039,7.016004548,-1,0.0,-1.0,0.75,0.5625,1,0,1,0,0.5,20,2,2,0,False,0,2,1,1,2.4869290000029843e+62,62.0,8.0,0
19,3,1.3862943611198906,0.3333333333333333,5,1.791759469228055,0.2,25,8.022487362,2.1997200568134043,0.1246496198593824,64.36030347344972,0.2492992397187649,4.011243681,-2,0.0,-0.5,0.6,0.36,1,1,3,0,0.5,20,2,2,0,False,0,2,1,1,0.8399,-1.0,2.974742527086706,0
