Z,N,Nuclide,Mass,Mass Uncertainty (%),Half Life,M,N/P,Adj. N/P,P/N,Adj. P/N,M/P,M/N,M*N/P,M*P/N,Adj. M*N/P,Adj. M*P/N,N/Mass,P/Mass,Adj. N/Mass,Adj. P/Mass,Adj. N/Mass - Z,Adj. P/Mass - Z,Half Life (Seconds),Half Life Seconds Value,Magnitude of Value,isStable,(-ZM/N)^Adj. P/Mass,-ZM/N
5,7.0,B- 12,12.014352104,0.0,20.20MS 2,13.3694,1.4,0.3999999999999999,0.7142857142857143,0.2857142857142857,2.67388,1.909914285714286,18.71716,9.54957142857143,5.347759999999999,3.8198285714285714,0.5826364950357543,0.41616892502553876,0.4173635049642457,0.5838310749744613,-4.5826364950357545,-4.416168925025539,0.0202,2.02,-2.0,0.0,,-9.54957142857143
5,8.0,B- 13,13.017780215999998,0.0,17.36MS 16,16.5621,1.6,0.6000000000000001,0.625,0.375,3.3124200000000004,2.0702625,26.499360000000003,10.3513125,9.937260000000002,6.2107875,0.614544097938241,0.38409006121140066,0.38545590206175895,0.6159099387885993,-4.614544097938241,-4.384090061211401,0.01736,1.736,-2.0,0.0,,-10.3513125
5,9.0,B- 14,14.025404012000001,0.0002,12.5MS 5,23.664,1.8,0.8,0.5555555555555556,0.4444444444444444,4.7328,2.6293333333333333,42.595200000000006,13.146666666666668,18.9312,10.517333333333333,0.641692744986147,0.35649596943674833,0.35830725501385297,0.6435040305632517,-4.641692744986147,-4.356495969436748,0.0125,1.25,-2.0,0.0,,-13.146666666666667
5,10.0,B- 15,15.031094117,0.0002,10.5MS 3,28.958000000000002,2.0,1.0,0.5,0.5,5.791600000000001,2.8958000000000004,57.916000000000004,14.479000000000001,28.958000000000002,14.479000000000001,0.6652875647082876,0.3326437823541438,0.33471243529171235,0.6673562176458562,-4.665287564708287,-4.332643782354144,0.0105,1.05,-2.0,0.0,,-14.479000000000001
5,11.0,,,,,37.111999999999995,2.2,1.2000000000000002,0.45454545454545453,0.5454545454545454,7.422399999999999,3.3738181818181814,81.6464,16.869090909090907,44.5344,20.242909090909087,,,,,,,,,,,,-16.869090909090904
5,12.0,B- 17,17.046989906,0.0011,5.08MS 5,43.77,2.4,1.4,0.4166666666666667,0.5833333333333333,8.754000000000001,3.6475000000000004,105.048,18.2375,61.278,25.5325,0.7039365932736535,0.2933069138640223,0.29606340672634646,0.7066930861359777,-4.703936593273654,-4.293306913864022,0.00508,5.08,-3.0,0.0,,-18.2375
5,13.0,,,,,51.85,2.6,1.6,0.38461538461538464,0.6153846153846154,10.370000000000001,3.9884615384615385,134.81,19.942307692307693,82.96000000000001,31.90769230769231,,,,,,,,,,,,-19.942307692307693
5,14.0,B- 19,19.0631,0.0023,2.92MS 13,58.78,2.8,1.7999999999999998,0.35714285714285715,0.6428571428571428,11.756,4.198571428571428,164.584,20.992857142857144,105.80399999999999,37.787142857142854,0.7344031138692029,0.2622868263818582,0.2655968861307971,0.7377131736181418,-4.734403113869202,-4.2622868263818585,0.00292,2.92,-3.0,0.0,,-20.992857142857144
5,15.0,,,,,67.13,3.0,2.0,0.3333333333333333,0.6666666666666667,13.425999999999998,4.475333333333333,201.39,22.376666666666665,134.26,44.75333333333334,,,,,,,,,,,,-22.376666666666665
5,16.0,,,,,75.72,3.2,2.2,0.3125,0.6875,15.144,4.7325,242.304,23.6625,166.584,52.0575,,,,,,,,,,,,-23.662499999999998
6,2.0,,,,,35.064,0.3333333333333333,0.6666666666666667,3.0,2.0,5.844,17.532,11.687999999999999,105.19200000000001,23.376,70.128,,,,,,,,,,,,-105.19200000000001
6,3.0,C- 9,9.031035568,0.0,126.5MS 9,28.910999999999998,0.5,0.5,2.0,1.0,4.818499999999999,9.636999999999999,14.455499999999999,57.821999999999996,14.455499999999999,28.910999999999998,0.3321878180427071,0.6643756360854142,0.6678121819572929,0.33562436391458583,-5.332187818042707,-5.664375636085414,0.1265,1.265,-1.0,0.0,,-57.821999999999996
6,4.0,C- 10,10.01685323,0.0,19.310S 4,15.6988,0.6666666666666666,0.33333333333333337,1.5,0.5,2.6164666666666667,3.9247,10.465866666666667,23.5482,5.232933333333334,7.8494,0.39932700501392887,0.5989905075208933,0.6006729949860712,0.40100949247910667,-5.399327005013928,-5.5989905075208934,19.31,1.931,1.0,0.0,,-23.5482
6,5.0,C- 11,11.011433611,0.0,1223.1S 12,10.6503,0.8333333333333334,0.16666666666666663,1.2,0.19999999999999996,1.77505,2.13006,8.87525,12.78036,1.7750499999999996,2.1300599999999994,0.4540734818584559,0.5448881782301471,0.545926518141544,0.4551118217698529,-5.454073481858456,-5.544888178230147,1223.1,1.2231,3.0,1.0,,-12.780359999999998
6,6.0,C-nat,12.0107,0.0067,,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.49955456384723623,0.49955456384723623,0.5004454361527637,0.5004454361527637,-5.499554563847236,-5.499554563847236,,,,,0.0,-0.0
6,6.0,C- 12,12.0,0.0,-1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,0.5,0.5,-5.5,-5.5,-1.0,2,2.0,1.0,0.0,-0.0
6,7.0,C- 13,13.00335483507,0.0,-1.0,3.12501,1.1666666666666667,0.16666666666666674,0.8571428571428571,0.1428571428571429,0.520835,0.44643,3.6458450000000004,2.6785799999999997,0.5208350000000003,0.44643000000000016,0.5383226166466691,0.461419385697145,0.46167738335333086,0.538580614302855,-5.538322616646669,-5.461419385697145,-1.0,2,2.0,1.0,,-2.6785799999999997
6,8.0,C- 14,14.00324198842,0.0,5700Y 30,3.01989,1.3333333333333333,0.33333333333333326,0.75,0.25,0.5033150000000001,0.37748625,4.02652,2.2649175,1.00663,0.7549725,0.5712962760063428,0.4284722070047571,0.4287037239936572,0.5715277929952429,-5.5712962760063425,-5.4284722070047575,179755200000.0,1.797552,11.0,1.0,,-2.2649175
6,9.0,C- 15,15.010599255999999,0.0,2.449S 5,9.8731,1.5,0.5,0.6666666666666666,0.33333333333333337,1.6455166666666667,1.0970111111111112,14.809650000000001,6.582066666666667,4.93655,3.291033333333334,0.5995763291330652,0.39971755275537685,0.40042367086693476,0.6002824472446231,-5.599576329133066,-5.3997175527553765,2.449,2.449,0.0,0.0,,-6.582066666666667
6,10.0,C- 16,16.014701252000002,0.0,0.747S 8,13.694,1.6666666666666667,0.6666666666666667,0.6,0.4,2.2823333333333333,1.3694000000000002,22.823333333333334,8.2164,9.129333333333335,5.477600000000001,0.6244262595127178,0.3746557557076307,0.3755737404872822,0.6253442442923693,-5.624426259512718,-5.37465575570763,0.747,7.47,-1.0,0.0,,-8.2164
6,11.0,C- 17,17.022579037,0.0001,193MS 13,21.031,1.8333333333333333,0.8333333333333333,0.5454545454545454,0.4545454545454546,3.5051666666666663,1.9119090909090908,38.55683333333333,11.471454545454543,17.52583333333333,9.559545454545455,0.6462005537522005,0.35247302931938207,0.35379944624779947,0.6475269706806179,-5.646200553752201,-5.352473029319382,0.193,1.93,-1.0,0.0,,-11.471454545454545
6,12.0,C- 18,18.026752275,0.0002,92MS 2,24.92,2.0,1.0,0.5,0.5,4.153333333333333,2.0766666666666667,49.84,12.46,24.92,12.46,0.6656773120825504,0.3328386560412752,0.33432268791744957,0.6671613439587247,-5.6656773120825505,-5.332838656041275,0.092,9.2,-2.0,0.0,,-12.46
6,13.0,C- 19,19.034797939,0.0006,49MS 4,32.41,2.1666666666666665,1.1666666666666665,0.46153846153846156,0.5384615384615384,5.401666666666666,2.4930769230769227,70.22166666666665,14.958461538461538,37.81166666666666,17.45153846153846,0.6829597057799375,0.31521217189843265,0.3170402942200625,0.6847878281015674,-5.682959705779938,-5.315212171898432,0.049,4.9,-2.0,0.0,,-14.958461538461538
6,14.0,C- 20,20.040319754000002,0.0013,14MS +6 -5,37.56,2.3333333333333335,1.3333333333333335,0.42857142857142855,0.5714285714285714,6.260000000000001,2.682857142857143,87.64000000000001,16.097142857142856,50.080000000000005,21.462857142857143,0.6985916478306506,0.29939642049885024,0.30140835216934936,0.7006035795011498,-5.698591647830651,-5.29939642049885,0.014,1.4,-2.0,0.0,,-16.097142857142856
6,15.0,,,,,45.64,2.5,1.5,0.4,0.6,7.6066666666666665,3.042666666666667,114.1,18.256,68.46000000000001,27.384,,,,,,,,,,,,-18.256
6,16.0,C- 22,22.055970000000002,0.0024,6.1MS +14 -12,53.59,2.6666666666666665,1.6666666666666665,0.375,0.625,8.931666666666667,3.349375,142.90666666666667,20.09625,89.31666666666666,33.493750000000006,0.7254271745926386,0.27203519047223945,0.2745728254073614,0.7279648095277605,-5.725427174592639,-5.27203519047224,0.0060999999999999995,6.1,-3.0,0.0,,-20.09625
6,17.0,,,,,64.17,2.8333333333333335,1.8333333333333335,0.35294117647058826,0.6470588235294117,10.695,3.7747058823529414,181.81500000000003,22.64823529411765,117.64500000000001,41.52176470588235,,,,,,,,,,,,-22.648235294117647
7,3.0,,,,,38.8,0.42857142857142855,0.5714285714285714,2.3333333333333335,1.3333333333333335,5.542857142857143,12.933333333333332,16.628571428571426,90.53333333333333,22.171428571428567,51.733333333333334,,,,,,,,,,,,-90.53333333333333
7,4.0,,,,,24.3,0.5714285714285714,0.4285714285714286,1.75,0.75,3.4714285714285715,6.075,13.885714285714286,42.525,10.414285714285715,18.225,,,,,,,,,,,,-42.525000000000006
7,5.0,N- 12,12.018613195999999,0.0,11.000MS 16,17.3381,0.7142857142857143,0.2857142857142857,1.4,0.3999999999999999,2.4768714285714286,3.46762,12.384357142857144,24.27334,4.953742857142857,6.9352399999999985,0.41602137604895095,0.5824299264685314,0.583978623951049,0.4175700735314686,-6.416021376048951,-6.5824299264685315,0.011,1.1,-2.0,0.0,,-24.27334
