Z,N,Mass,Mass Uncertainty (%),M,N/P,Adj. N/P,P/N,Adj. P/N,M/P,M/N,M*N/P,M*P/N,Adj. M*N/P,Adj. M*P/N,N/Mass,P/Mass,Adj. N/Mass,Adj. P/Mass,Adj. N/Mass - Z,Adj. P/Mass - Z,(-ZM/N)^Adj. P/Mass,-ZM/N
0.2839506172839506,0.312,0.31005764840645833,0.0,0.3889336834950121,0.7649990033884793,0.6988505747126437,0.11779062299293519,0.8059259259259258,0.194098845418457,0.38393744995028034,0.3378315470330351,0.5050264361317052,0.36923733331122877,0.3405358290344236,0.8521945406149287,0.17785779966448412,0.14780545938507128,0.8221422003355157,0.7151213036225568,0.7171736456043927,0.7755819948973992,0.49497356386829455
0.8148148148148148,0.832,0.8421380212721888,0.0,0.4975390849607596,0.7413294797687862,0.6685185185185184,0.1316868102995271,0.783030303030303,0.7330922284237187,0.7927671605039012,0.4639218588388093,0.5866192286329646,0.5038545237148588,0.4731480551370053,0.8559566214995029,0.21118347203879506,0.14404337850049664,0.7888165279612047,0.1848287870485763,0.1857186977819455,0.6791172364077033,0.4133807713670352
0.6172839506172839,0.6,0.6202246624011112,0.0,0.042894441965284136,0.6609207266721717,0.5654761904761904,0.1823306929279952,0.6995884773662551,0.34632294313583756,0.4639271686745221,0.033231580025114504,0.16829172687133187,0.2005938763455628,0.1033762895233441,0.7887583019978801,0.2747173600692556,0.21124169800211967,0.7252826399307444,0.3823146069592682,0.38328426562143303,0.9856738247116609,0.8317082731286678
0.41975308641975306,0.41600000000000004,0.4281621317009166,0.0,0.1130340665707249,0.664450867052023,0.57,0.17998804066175011,0.7034482758620688,0.15191695790516913,0.3062101783264497,0.10186717892202879,0.2311402737257522,0.2532502181754521,0.16449925299054446,0.7838819031893998,0.2661244936845577,0.2161180968106,0.7338755063154419,0.5796416119632617,0.58102566233208,0.9471754704861883,0.7688597262742475
0.6543209876543209,0.6719999999999999,0.6794437012217336,0.0,0.22491268688715793,0.7390026452434604,0.6655367231638417,0.13307642903018624,0.7807407407407407,0.49755324293667424,0.6092876879889473,0.17432953177578048,0.36134207504406934,0.2380684427664541,0.1896638683366898,0.851348868569934,0.21109799877653979,0.1486511314300656,0.7889020012234598,0.34515862399740216,0.34636677114368775,0.8841859872802922,0.6386579249559304
0.5308641975308642,0.376,0.4478824705809636,0.0,0.22867688856544632,0.30034210215878265,0.1034013605442178,0.5031082997055294,0.17106918238993707,0.3979511996755303,0.3397484143900116,0.4173848689860191,0.1036766092998539,0.8821971203879773,0.8233084187239356,0.43840663373402844,0.6296744323791632,0.5615933662659718,0.3703255676208368,0.46953253595440214,0.4689216563249944,0.7689885276888864,0.8963233907001458
0.8765432098765432,0.848,0.8766554163366229,0.0,0.580406075530616,0.6689437729900158,0.5757575757575758,0.17702312138728327,0.7083333333333333,0.7915845564898822,0.830034746448277,0.5737914928007978,0.6374148035742673,0.6431693416814046,0.6020077602500726,0.7995806668382497,0.2710240532994215,0.20041933316174987,0.7289759467005785,0.12331164407910944,0.12378517946539269,0.6034254373607272,0.3625851964257326
0.5432098765432098,0.584,0.5808586495931659,0.0,0.12051882700929262,0.792947976878613,0.7346666666666667,0.10192434330869982,0.8320675105485232,0.3272588806009077,0.4949336511563637,0.029603415422046253,0.3003551605413811,0.045644476568348025,0.020074983773862298,0.8891022228512218,0.16722112887596108,0.11089777714877824,0.8327788711240385,0.4560518675464127,0.4576914858145442,0.9668230467442577,0.6996448394586186
0.7283950617283951,0.696,0.7237722876306517,0.0,0.24203271254919378,0.6454424188528236,0.5456410256410257,0.19274038162719875,0.682437275985663,0.5540064921776882,0.630242925478327,0.24266909473102216,0.3341306176404091,0.38912719970550824,0.307338679279041,0.7782112370998755,0.2895250565572911,0.22178876290012473,0.7104749434427085,0.2713520336421448,0.27203041508397763,0.85397506031749,0.6658693823595907
0.4074074074074074,0.336,0.3739394991049817,0.0,0.09420978496043231,0.44775455758114724,0.2923076923076924,0.3489884393063585,0.425,0.11171066340854041,0.1438785755299773,0.2214798089267117,0.07496286061741864,0.6089239877628794,0.4845052007608801,0.588680636368283,0.46512660976675413,0.41131936363171673,0.5348733902332454,0.5924712043693225,0.5928980678254488,0.8963227977895243,0.925037139382581
