Z,N,Nuclide,Mass,Mass Uncertainty (%),Half Life,M
36,50.0,Kr- 87,86.91335476,0.0,76.3M 5,-83.2657
36,51.0,Kr- 88,87.914447881,0.0,2.84H 3,-80.7095
36,52.0,Kr- 89,88.917835451,0.0,3.15M 4,-79.6913
36,53.0,Kr- 90,89.919527931,0.0,32.32S 9,-76.5358
36,54.0,Kr- 91,90.923806311,0.0,8.57S 4,-74.9592
36,55.0,Kr- 92,91.926173095,0.0,1.840S 8,-70.97399999999998
36,56.0,Kr- 93,92.931147175,0.0,1.286S 10,-68.7693
36,57.0,Kr- 94,93.934140455,0.0,0.20S 1,-64.13600000000001
36,58.0,Kr- 95,94.939710924,0.0,0.78S 3,-61.348
36,59.0,Kr- 96,95.943016618,0.0,80MS 7,-56.159
36,60.0,Kr- 97,96.949088785,0.0001,63MS 4,-53.08
36,61.0,Kr- 98,97.95227,0.0006,46MS 8,-47.42
36,62.0,Kr- 99,98.95839,0.0005,40MS 11,-44.31
36,63.0,Kr-100,99.96225,0.0005,,-38.76
36,64.0,,,,,-35.05
36,65.0,,,,,-29.13
37,34.0,Rb- 72,71.95908,0.0008,,-32.3
37,35.0,Rb- 73,72.950529,0.0001,,-38.12
37,36.0,Rb- 74,73.944264833,0.0,64.776MS 30,-46.08
37,37.0,Rb- 75,74.938573246,0.0,19.0S 12,-51.916
37,38.0,Rb- 76,75.935074116,0.0,36.5S 6,-57.2187
37,39.0,Rb- 77,76.9304016,0.0,3.77M 4,-60.4791
37,40.0,Rb- 78,77.92814098,0.0,17.66M 8,-64.8305
37,41.0,Rb- 79,78.923989864,0.0,22.9M 5,-66.935
37,42.0,Rb- 80,79.922516444,0.0,34S 4,-70.803
37,43.0,Rb- 81,80.918994131,0.0,4.572H 4,-72.1755
37,44.0,Rb- 82,81.918209024,0.0,1.273M 2,-75.457
37,45.0,Rb- 83,82.915114183,0.0,86.2D 1,-76.188
37,46.0,Rb- 84,83.91437807,0.0,32.77D 14,-79.0706
37,47.0,Rb- 85,84.911789738,0.0,-1.0,-79.759
37,48.0,Rb-nat,85.4678,0.0004,,-82.1673
37,48.0,Rb- 86,85.911167425,0.0,18.631D 18,-82.1673
37,49.0,Rb- 87,86.909180531,0.0,4.81E+10Y 9,-82.74700000000001
37,50.0,Rb- 88,87.911315594,0.0,17.773M 11,-84.5978
37,51.0,Rb- 89,88.912278239,0.0,15.15M 12,-82.609
37,52.0,Rb- 90,89.914798243,0.0,158S 5,-81.712
37,53.0,Rb- 91,90.916535717,0.0,58.4S 4,-79.365
37,54.0,Rb- 92,91.919728307,0.0,4.492S 20,-77.745
37,55.0,Rb- 93,92.922039131,0.0,5.84S 2,-74.773
37,56.0,Rb- 94,93.926395669,0.0,2.702S 5,-72.62
37,57.0,Rb- 95,94.929259399,0.0,377.5MS 8,-68.5628
37,58.0,Rb- 96,95.93413338,0.0,201.3MS 9,-65.89399999999999
37,59.0,Rb- 97,96.93717812,0.0,169.9MS 7,-61.354
37,60.0,Rb- 98,97.941995424,0.0001,114MS 5,-58.5191
37,61.0,Rb- 99,98.945012669,0.0001,50.3MS 7,-54.31800000000001
37,62.0,Rb-100,99.95003,0.0002,51MS 8,-51.21
37,63.0,Rb-101,100.953864,0.0002,0.032S 4,-46.55
37,64.0,Rb-102,101.95932,0.0003,37MS 3,-42.81
37,65.0,,,,,-37.71
37,66.0,,,,,-33.61
38,34.0,Sr- 73,72.9657,0.0006,,
38,35.0,Sr- 74,73.95617,0.0001,,-31.95
38,36.0,Sr- 75,74.949952814,0.0003,88MS 3,-40.83
38,37.0,Sr- 76,75.941762761,0.0,7.9S 3,-46.62
38,38.0,Sr- 77,76.937945455,0.0,9.0S 2,-54.25
38,39.0,Sr- 78,77.93217998,0.0,2.5M 3,-57.803
38,40.0,Sr- 79,78.929707664,0.0,2.25M 10,-63.174
38,41.0,Sr- 80,79.924517516,0.0,106.3M 15,-65.477
38,42.0,Sr- 81,80.923211395,0.0,22.3M 4,-70.311
38,43.0,Sr- 82,81.918399944,0.0,25.55D 15,-71.528
38,44.0,Sr- 83,82.917554374,0.0,32.41H 3,-76.01
38,45.0,Sr- 84,83.913419385,0.0,-1.0,-76.798
38,46.0,Sr- 85,84.912932077,0.0,64.84D 2,-80.6496
38,47.0,Sr- 86,85.909260577,0.0,-1.0,-81.1033
38,48.0,Sr- 87,86.908877499,0.0,-1.0,-84.5232
38,49.0,Sr-nat,87.62,0.0114,,-84.88
38,49.0,Sr- 88,87.905612509,0.0,-1.0,-84.88
38,50.0,Sr- 89,88.907451063,0.0,50.53D 7,-87.9214
38,51.0,Sr- 90,89.907729529,0.0,28.79Y 6,-86.2087
38,52.0,Sr- 91,90.910194976,0.0,9.63H 5,-85.9489
38,53.0,Sr- 92,91.911038143,0.0,2.71H 1,-83.652
38,54.0,Sr- 93,92.914024066,0.0,7.423M 24,-82.867
38,55.0,Sr- 94,93.915358357,0.0,75.3S 2,-80.086
38,56.0,Sr- 95,94.91935124,0.0,23.90S 14,-78.8457
38,57.0,Sr- 96,95.921703234,0.0,1.07S 1,-75.122
38,58.0,Sr- 97,96.926363832,0.0,426MS 5,-72.93
38,59.0,Sr- 98,97.928677318,0.0,0.653S 2,-68.582
38,60.0,Sr- 99,98.932871725,0.0,0.269S 1,-66.426
38,61.0,Sr-100,99.935766235,0.0,202MS 3,-62.512
38,62.0,Sr-101,100.940348259,0.0001,118MS 3,-59.83
38,63.0,Sr-102,101.943746,0.0002,69MS 6,-55.56
38,64.0,Sr-103,102.94897,0.0002,,-52.36
38,65.0,Sr-104,103.95285,0.0004,,-47.42
38,66.0,Sr-105,104.95855,0.0005,,-44.11
38,67.0,,,,,-38.61
38,68.0,,,,,-34.79
38,69.0,,,,,-28.9
39,36.0,Y- 76,75.95856,0.0007,,
39,37.0,Y- 77,76.949781,0.0001,63MS 17,-38.6
39,38.0,Y- 78,77.94361,0.0006,50MS 8,-46.78
39,39.0,Y- 79,78.937351299,0.0006,14.8S 6,-52.53
39,40.0,Y- 80,79.934354715,0.0,30.1S 5,-58.36
39,41.0,Y- 81,80.929454173,0.0,70.4S 10,-61.147
39,42.0,Y- 82,81.92693002,0.0,8.3S 2,-65.712
39,43.0,Y- 83,82.922483863,0.0,7.08M 6,-68.063
39,44.0,Y- 84,83.920670968,0.0,4.6S 2,-72.205
39,45.0,Y- 85,84.916433039,0.0,2.68H 5,-73.893
39,46.0,Y- 86,85.914885948,0.0,14.74H 2,-77.842
39,47.0,Y- 87,86.910876106,0.0,79.8H 3,-79.283
39,48.0,Y- 88,87.909501531,0.0,106.626D 21,-83.0183
39,49.0,Y-nat,88.90585,0.0,,-84.2988
39,49.0,Y- 89,88.905839834,0.0,-1.0,-84.2988
39,50.0,Y- 90,89.907143428,0.0,64.00H 21,-87.7092
39,51.0,Y- 91,90.907296273,0.0,58.51D 6,-86.4949
39,52.0,Y- 92,91.908944182,0.0,3.54H 1,-86.3519
39,53.0,Y- 93,92.909576914,0.0,10.18H 8,-84.81700000000002
39,54.0,Y- 94,93.911590463,0.0,18.7M 1,-84.228
39,55.0,Y- 95,94.912814101,0.0,10.3M 1,-82.353
39,56.0,Y- 96,95.915893495,0.0,5.34S 5,-81.211
39,57.0,Y- 97,96.918270732,0.0,3.75S 3,-78.342
39,58.0,Y- 98,97.922378718,0.0,0.548S 2,-76.127
39,59.0,Y- 99,98.924144549,0.0,1.478S 7,-72.301
39,60.0,Y-100,99.927711235,0.0,735MS 4,-70.656
39,61.0,Y-101,100.930144222,0.0,0.45S 2,-67.333
39,62.0,Y-102,101.934283,0.0002,0.36S 4,-65.067
39,63.0,Y-103,102.937197,0.0001,0.23S 2,-61.173
39,64.0,Y-104,103.94196,0.0004,180MS 60,-58.458
39,65.0,Y-105,104.94544,0.0005,,-54.06
39,66.0,Y-106,105.95056,0.0005,,-50.82
39,67.0,Y-107,106.95452,0.0005,,-46.05
39,68.0,Y-108,107.95996,0.0006,,-42.36
39,69.0,,,,,-37.3
39,70.0,,,,,-33.2
40,37.0,Zr- 78,77.95566,0.0007,,
40,38.0,Zr- 79,78.94948,0.0005,56MS 30,-41.3
40,39.0,Zr- 80,79.9404,0.002,4.6S 6,-47.06
40,40.0,Zr- 81,80.937308446,0.0002,5.5S 4,-55.52
40,41.0,Zr- 82,81.931353,0.0003,32S 5,-58.4
40,42.0,Zr- 83,82.929240763,0.0,41.6S 24,-63.94
40,43.0,Zr- 84,83.923325505,0.0,25.9M 7,-65.911
40,44.0,Zr- 85,84.921443046,0.0,7.86M 4,-71.421
40,45.0,Zr- 86,85.916296762,0.0,16.5H 1,-73.17399999999998
40,46.0,Zr- 87,86.914816517,0.0,1.68H 1,-77.969
40,47.0,Zr- 88,87.910220049,0.0,83.4D 3,-79.347
40,48.0,Zr- 89,88.908881188,0.0,78.41H 12,-83.62799999999999
40,49.0,Zr- 90,89.904696939,0.0,-1.0,-84.876
40,50.0,Zr- 91,90.905638346,0.0,-1.0,-88.7736
40,51.0,Zr-nat,91.224,0.0022,,-87.8962
40,51.0,Zr- 92,91.905033433,0.0,-1.0,-87.8962
40,52.0,Zr- 93,92.906468683,0.0,1.61E+6Y 10,-88.4596
40,53.0,Zr- 94,93.906309036,0.0,-1.0,-87.1227
40,54.0,Zr- 95,94.908036647,0.0,64.032D 6,-87.2709
40,55.0,Zr- 96,95.90826809,0.0,3.9E+19Y 9,-85.6616
40,56.0,Zr- 97,96.910947832,0.0,16.744H 7,-85.4446
40,57.0,Zr- 98,97.912725495,0.0,30.7S 4,-82.9484
40,58.0,Zr- 99,98.916664513,0.0,2.1S 1,-81.293
40,59.0,Zr-100,99.917997918,0.0,7.1S 4,-77.624
40,60.0,Zr-101,100.921445154,0.0,2.3S 1,-76.382
40,61.0,Zr-102,101.923139152,0.0,2.9S 2,-73.171
40,62.0,Zr-103,102.927187138,0.0,1.3S 1,-71.594
40,63.0,Zr-104,103.929432125,0.0,1.2S 3,-67.821
40,64.0,Zr-105,104.934004611,0.0,0.6S 1,-65.73
40,65.0,Zr-106,105.93662,0.0003,,-61.471
40,66.0,Zr-107,106.94174,0.0003,,-58.91
40,67.0,Zr-108,107.94487,0.0004,,-54.27
40,68.0,Zr-109,108.95041,0.0005,,-51.35
40,69.0,Zr-110,109.95396,0.0006,,-46.19
40,70.0,,,,,-42.89
40,71.0,,,,,-37.56
40,72.0,,,,,-33.81
41,39.0,Nb- 81,80.9493,0.0005,,
41,40.0,Nb- 82,81.94396,0.0004,50MS 5,-46.95
41,41.0,Nb- 83,82.937292344,0.0004,4.1S 3,-52.2
41,42.0,Nb- 84,83.93449,0.0004,9.5S 10,-58.41
41,43.0,Nb- 85,84.928845838,0.0,20.9S 7,-61.02
41,44.0,Nb- 86,85.925781388,0.0,88S 1,-66.28
41,45.0,Nb- 87,86.92069233,0.0,3.73M 9,-69.133
41,46.0,Nb- 88,87.918222222,0.0001,14.55M 6,-73.873
41,47.0,Nb- 89,88.913418245,0.0,2.03H 7,-76.18
41,48.0,Nb- 90,89.911257368,0.0,14.60H 5,-80.625
41,49.0,Nb- 91,90.906988822,0.0,6.8E+2Y 13,-82.662
41,50.0,Nb- 92,91.90718681,0.0,3.47E+7Y 24,-86.639
41,51.0,Nb-nat,92.90638,0.0,,-86.4537
41,51.0,Nb- 93,92.906371673,0.0,-1.0,-86.4537
41,52.0,Nb- 94,93.907277506,0.0,2.03E+4Y 16,-87.213
41,53.0,Nb- 95,94.906831005,0.0,34.991D 6,-86.3692
41,54.0,Nb- 96,95.908095905,0.0,23.35H 5,-86.7851
41,55.0,Nb- 97,96.908093553,0.0,72.1M 7,-85.60700000000001
41,56.0,Nb- 98,97.910323116,0.0,2.86S 6,-85.6081
41,57.0,Nb- 99,98.911614948,0.0,15.0S,-83.53
41,58.0,Nb-100,99.914324135,0.0,1.5S 2,-82.33200000000002
41,59.0,Nb-101,100.915311979,0.0,7.1S 3,-79.803
41,60.0,Nb-102,101.918073552,0.0,1.3S 2,-78.888
41,61.0,Nb-103,102.919459008,0.0,1.5S 2,-76.311
41,62.0,Nb-104,103.922888925,0.0,4.8S 4,-75.025
41,63.0,Nb-105,104.924948284,0.0,2.95S 6,-71.825
41,64.0,Nb-106,105.928933548,0.0,0.93S 4,-69.91199999999999
41,65.0,Nb-107,106.931595513,0.0,0.30S 3,-66.2
41,66.0,Nb-108,107.936055,0.0001,0.193S 17,-63.72
41,67.0,Nb-109,108.93904,0.0003,0.19S 3,-59.54600000000001
41,68.0,Nb-110,109.94386,0.0003,0.17S 2,-56.62
41,69.0,Nb-111,110.94737,0.0004,,-52.14
41,70.0,Nb-112,111.95229,0.0005,,-48.88
41,71.0,Nb-113,112.95639,0.0005,,-44.27
41,72.0,,,,,-40.51
41,73.0,,,,,-35.39
41,74.0,,,,,-31.35
42,40.0,Mo- 83,82.94988,0.0005,23MS 19,
42,41.0,Mo- 84,83.94149,0.0005,3.8MS 9,-46.69
42,42.0,Mo- 85,84.938260738,0.0,3.2S 2,-54.5
42,43.0,Mo- 86,85.931174817,0.0,19.6S 11,-57.51
42,44.0,Mo- 87,86.928198287,0.0,13.4S 4,-64.11
42,45.0,Mo- 88,87.921967781,0.0,8.0M 2,-66.8848
42,46.0,Mo- 89,88.919468151,0.0,2.11M 10,-72.687
42,47.0,Mo- 90,89.913929419,0.0,5.67H 5,-75.015
42,48.0,Mo- 91,90.911745499,0.0,15.49M 1,-80.173
42,49.0,Mo- 92,91.906806296,0.0,-1.0,-82.209
42,50.0,Mo- 93,92.906807914,0.0,4.0E+3Y 8,-86.8078
42,51.0,Mo- 94,93.905083524,0.0,-1.0,-86.8063
42,52.0,Mo- 95,94.905837386,0.0,-1.0,-88.4128
42,53.0,Mo-nat,95.96,0.0208,,-87.7106
42,53.0,Mo- 96,95.904674734,0.0,-1.0,-87.7106
42,54.0,Mo- 97,96.906016735,0.0,-1.0,-88.7936
42,55.0,Mo- 98,97.90540344,0.0,-1.0,-87.5436
42,56.0,Mo- 99,98.907707149,0.0,65.94H 1,-88.1148
42,57.0,Mo-100,99.907473552,0.0,1.2E+19Y +3 -2,-85.969
42,58.0,Mo-101,100.910343218,0.0,14.61M 3,-86.1895
42,59.0,Mo-102,101.910280781,0.0,11.3M 2,-83.5164
42,60.0,Mo-103,102.913075038,0.0,67.5S 15,-83.57
42,61.0,Mo-104,103.913730897,0.0,60S 2,-80.967
42,62.0,Mo-105,104.916965049,0.0,35.6S 16,-80.35600000000002
42,63.0,Mo-106,105.918255842,0.0,8.73S 12,-77.343
42,64.0,Mo-107,106.922102228,0.0,3.5S 5,-76.141
42,65.0,Mo-108,107.924029814,0.0,1.09S 2,-72.558
42,66.0,Mo-109,108.928420455,0.0,0.53S 6,-70.762
42,67.0,Mo-110,109.930699942,0.0,0.30S 4,-66.672
42,68.0,Mo-111,110.93552,0.0002,,-64.54899999999999
42,69.0,Mo-112,111.9382,0.0003,,-59.938
42,70.0,Mo-113,112.94317,0.0003,,-57.46
42,71.0,Mo-114,113.94633,0.0004,,-52.77
42,72.0,Mo-115,114.95196,0.0004,,-49.81
42,73.0,,,,,-44.75
42,74.0,,,,,-41.5
42,75.0,,,,,-36.17
43,41.0,Tc- 85,84.95058,0.0005,,
43,42.0,Tc- 86,85.94493,0.0004,54MS 7,-46.03
43,43.0,Tc- 87,86.938067187,0.0,2.18S 16,-51.3
43,44.0,Tc- 88,87.933784781,0.0,6.4S 8,-57.69
43,45.0,Tc- 89,88.927648651,0.0,12.8S 9,-61.68
43,46.0,Tc- 90,89.924075001,0.0,8.7S 2,-67.395
43,47.0,Tc- 91,90.918424354,0.0,3.14M 2,-70.7247
43,48.0,Tc- 92,91.915270758,0.0,4.25M 15,-75.9863
43,49.0,Tc- 93,92.910244289,0.0,2.75H 5,-78.926
43,50.0,Tc- 94,93.909652257,0.0,293M 1,-83.6054
43,51.0,Tc- 95,94.907652232,0.0,20.0H 1,-84.15700000000002
43,52.0,Tc- 96,95.90786664,0.0,4.28D 7,-86.02
43,53.0,Tc- 97,96.906360621,0.0,2.6E+6Y 4,-85.82
43,54.0,Tc- 98,97.907211555,0.0,4.2E+6Y 3,-87.219
43,55.0,Tc- 99,98.906250394,0.0,2.111E+5Y 12,-86.431
43,56.0,Tc-100,99.907653428,0.0,15.46S 19,-87.3268
43,57.0,Tc-101,100.907311191,0.0,14.2M 1,-86.0199
43,58.0,Tc-102,101.90921129,0.0,5.28S 15,-86.34100000000002
43,59.0,Tc-103,102.909177635,0.0,54.2S 8,-84.571
43,60.0,Tc-104,103.911422798,0.0,18.3M 3,-84.602
43,61.0,Tc-105,104.911653349,0.0,7.6M 1,-82.507
43,62.0,Tc-106,105.914359324,0.0,35.6S 6,-82.29
43,63.0,Tc-107,106.91546218,0.0,21.2S 2,-79.775
43,64.0,Tc-108,107.918497274,0.0,5.17S 7,-78.748
43,65.0,Tc-109,108.920257922,0.0,0.86S 8,-75.921
43,66.0,Tc-110,109.923745116,0.0,0.92S 3,-74.281
43,67.0,Tc-111,110.925902854,0.0,290MS 20,-71.032
43,68.0,Tc-112,111.929947782,0.0,0.28S 3,-69.023
43,69.0,Tc-113,112.932498,0.0001,170MS 20,-65.255
43,70.0,Tc-114,113.93682,0.0002,150MS 30,-62.812
43,71.0,Tc-115,114.93982,0.0003,,-58.77
43,72.0,Tc-116,115.94476,0.0003,,-55.91
43,73.0,Tc-117,116.94806,0.0004,,-51.46
43,74.0,Tc-118,117.95299,0.0004,,-48.38
43,75.0,,,,,-43.79
43,76.0,,,,,-40.37
43,77.0,,,,,-35.52
44,42.0,Ru- 87,86.95069,0.0005,,
44,43.0,Ru- 88,87.9416,0.0004,1.3S 3,-45.93
44,44.0,Ru- 89,88.93762,0.0004,1.2S 2,-54.4
44,45.0,Ru- 90,89.930344771,0.0,11S 3,-58.11
44,46.0,Ru- 91,90.926742643,0.0,9S 1,-64.884
44,47.0,Ru- 92,91.920234375,0.0,3.65M 5,-68.2395
44,48.0,Ru- 93,92.917107375,0.0,59.7S 6,-74.3012
44,49.0,Ru- 94,93.911347182,0.0,51.8M 6,-77.2167
44,50.0,Ru- 95,94.91040438,0.0,1.643H 14,-82.584
44,51.0,Ru- 96,95.907588876,0.0,-1.0,-83.456
44,52.0,Ru- 97,96.907545741,0.0,2.9D 1,-86.0791
44,53.0,Ru- 98,97.905286743,0.0,-1.0,-86.1193
44,54.0,Ru- 99,98.905935826,0.0,-1.0,-88.225
44,55.0,Ru-100,99.904216001,0.0,-1.0,-87.6218
44,56.0,Ru-101,100.905578619,0.0,-1.0,-89.2238
44,57.0,Ru-nat,101.07,0.0198,,-87.9546
44,57.0,Ru-102,101.904345844,0.0,-1.0,-87.9546
44,58.0,Ru-103,102.906320378,0.0,39.26D 2,-89.1029
44,59.0,Ru-104,103.905428985,0.0,-1.0,-87.2636
44,60.0,Ru-105,104.907749149,0.0,4.44H 2,-88.0937
44,61.0,Ru-106,105.90733083,0.0,371.8D 18,-85.9325
44,62.0,Ru-107,106.90997358,0.0,3.75M 5,-86.322
44,63.0,Ru-108,107.910189574,0.0,4.55M 5,-83.86
44,64.0,Ru-109,108.913327522,0.0,34.5S 5,-83.65899999999998
44,65.0,Ru-110,109.914041768,0.0,11.6S 16,-80.736
44,66.0,Ru-111,110.917571454,0.0,2.12S 7,-80.071
44,67.0,Ru-112,111.918810847,0.0,1.75S 7,-76.783
44,68.0,Ru-113,112.922839663,0.0,0.9S,-75.62899999999998
44,69.0,Ru-114,113.924620589,0.0,0.53S 6,-71.87
44,70.0,Ru-115,114.928942576,0.0001,0.74S 8,-70.222
44,71.0,Ru-116,115.93112,0.0002,,-66.3
44,72.0,Ru-117,116.93606,0.0002,,-64.069
44,73.0,Ru-118,117.93853,0.0003,,-59.52
44,74.0,Ru-119,118.94357,0.0003,,-57.26
44,75.0,Ru-120,119.94631,0.0004,,-52.56
44,76.0,,,,,-50.01
44,77.0,,,,,-45.05
44,78.0,,,,,-42.41
44,79.0,,,,,-37.36
44,80.0,,,,,-34.42
45,43.0,Rh- 89,88.950584,0.0004,,
45,44.0,Rh- 90,89.94422,0.0005,1.1S 3,-46.03
45,45.0,Rh- 91,90.93688,0.0005,1.47S 22,-51.96
45,46.0,Rh- 92,91.932367695,0.0,4.66S 25,-58.8
45,47.0,Rh- 93,92.925907193,0.0,11.9S 7,-62.999
45,48.0,Rh- 94,93.921730655,0.0,70.6S 6,-69.0118
45,49.0,Rh- 95,94.915896024,0.0,5.02M 10,-72.908
45,50.0,Rh- 96,95.914451671,0.0,9.90M 10,-78.34100000000002
45,51.0,Rh- 97,96.911327837,0.0,30.7M 6,-79.686
45,52.0,Rh- 98,97.910707769,0.0,8.72M 12,-82.6
45,53.0,Rh- 99,98.908129393,0.0,16.1D 2,-83.175
45,54.0,Rh-100,99.908118697,0.0,20.8H 1,-85.57799999999997
45,55.0,Rh-101,100.906159636,0.0,3.3Y 3,-85.588
45,56.0,Rh-102,101.906839562,0.0,207D 3,-87.411
45,57.0,Rh-nat,102.9055,0.0,,-86.78
45,57.0,Rh-103,102.905500586,0.0,-1.0,-86.78
45,58.0,Rh-104,103.906651813,0.0,42.3S 4,-88.0281
45,59.0,Rh-105,104.905690296,0.0,35.36H 6,-86.9557
45,60.0,Rh-106,105.907288528,0.0,30.07S 35,-87.8506
45,61.0,Rh-107,106.906751276,0.0,21.7M 4,-86.36200000000002
45,62.0,Rh-108,107.90871486,0.0,16.8S 5,-86.86399999999998
45,63.0,Rh-109,108.908737285,0.0,80S 2,-85.03200000000002
45,64.0,Rh-110,109.911063692,0.0,28.5S 15,-85.0
45,65.0,Rh-111,110.911642707,0.0,11S 1,-82.829
45,66.0,Rh-112,111.914402264,0.0,2.1S 3,-82.305
45,67.0,Rh-113,112.915439746,0.0,2.80S 12,-79.73
45,68.0,Rh-114,113.918718534,0.0001,1.85S 5,-78.768
45,69.0,Rh-115,114.920311176,0.0,0.99S 5,-75.71
45,70.0,Rh-116,115.924056134,0.0001,0.68S 6,-74.229
45,71.0,Rh-117,116.926035809,0.0,0.44S 4,-70.74
45,72.0,Rh-118,117.93034063,0.0,266MS +22 -21,-68.898
45,73.0,Rh-119,118.93253,0.0002,,-64.888
45,74.0,Rh-120,119.93686,0.0002,,-62.823
45,75.0,Rh-121,120.93942,0.0003,,-58.82
45,76.0,Rh-122,121.94375,0.0003,,-56.43
45,77.0,,,,,-52.17
45,78.0,,,,,-49.51
45,79.0,,,,,-45.17
45,80.0,,,,,-42.21
45,81.0,,,,,-37.76
46,44.0,Pd- 91,90.95032,0.0006,,
46,45.0,Pd- 92,91.94088,0.0006,1.1S 3,-46.28
46,46.0,Pd- 93,92.93652,0.0005,0.79S 17,-55.07
46,47.0,Pd- 94,93.929036224,0.0,9.0S 5,-59.14
46,48.0,Pd- 95,94.924888346,0.0,,-66.101
46,49.0,Pd- 96,95.918213689,0.0,122S 2,-69.965
46,50.0,Pd- 97,96.916471988,0.0,3.10M 9,-76.182
46,51.0,Pd- 98,97.912698809,0.0,17.7M 3,-77.806
46,52.0,Pd- 99,98.911771237,0.0,21.4M 2,-81.321
46,53.0,Pd-100,99.908505561,0.0,3.63D 9,-82.181
46,54.0,Pd-101,100.908285238,0.0,8.47H 6,-85.227
46,55.0,Pd-102,101.905604763,0.0,-1.0,-85.431
46,56.0,Pd-103,102.906083533,0.0,16.991D 19,-87.931
46,57.0,Pd-104,103.904032393,0.0,-1.0,-87.485
46,58.0,Pd-105,104.905081479,0.0,-1.0,-89.395
46,59.0,Pd-106,105.903482281,0.0,-1.0,-88.4178
46,60.0,Pd-nat,106.42,0.0094,,-89.9074
46,60.0,Pd-107,106.90513003,0.0,6.5E+6Y 3,-89.9074
46,61.0,Pd-108,107.903895105,0.0,-1.0,-88.3725
46,62.0,Pd-109,108.905953855,0.0,13.7012H 24,-89.5244
46,63.0,Pd-110,109.905154035,0.0,-1.0,-87.6066
46,64.0,Pd-111,110.907671515,0.0,23.4M 2,-88.3315
46,65.0,Pd-112,111.907328136,0.0,21.03H 5,-85.9865
46,66.0,Pd-113,112.910261446,0.0,93S 5,-86.322
46,67.0,Pd-114,113.910368961,0.0,2.42M 6,-83.59100000000002
46,68.0,Pd-115,114.913658838,0.0,25S 2,-83.491
46,69.0,Pd-116,115.914297394,0.0,11.8S 4,-80.42699999999998
46,70.0,Pd-117,116.917955122,0.0,4.3S 3,-79.832
46,71.0,Pd-118,117.91906433,0.0,1.9S 1,-76.425
46,72.0,Pd-119,118.923340648,0.0,0.92S 13,-75.3889
46,73.0,Pd-120,119.924519163,0.0,0.5S 1,-71.408
46,74.0,Pd-121,120.92887,0.0004,,-70.2802
46,75.0,Pd-122,121.93055,0.0004,,-66.182
46,76.0,Pd-123,122.93493,0.0005,,-64.616
46,77.0,Pd-124,123.93688,0.0004,,-60.42
46,78.0,,,,,-58.55
46,79.0,,,,,-54.22
46,80.0,,,,,-52.02
46,81.0,,,,,-47.44
46,82.0,,,,,-44.87
47,45.0,Ag- 93,92.95033,0.0006,,
47,46.0,Ag- 94,93.943733,0.0007,26MS +26 -9,-46.27
47,47.0,Ag- 95,94.93602,0.0005,1.74S 13,-52.41
47,48.0,Ag- 96,95.930623945,0.0001,4.40S 6,-59.6
47,49.0,Ag- 97,96.923965326,0.0001,25.3S 3,-64.51
47,50.0,Ag- 98,97.921576568,0.0,46.7S 9,-70.83
47,51.0,Ag- 99,98.917645768,0.0,124S 3,-73.07
47,52.0,Ag-100,99.916115446,0.0,2.01M 9,-76.712
47,53.0,Ag-101,100.912683954,0.0,11.1M 3,-78.138
47,54.0,Ag-102,101.911704535,0.0,12.9M 3,-81.334
47,55.0,Ag-103,102.908963114,0.0,65.7M 7,-82.24700000000001
47,56.0,Ag-104,103.908625717,0.0,69.2M 10,-84.8
47,57.0,Ag-105,104.906525637,0.0,41.29D 7,-85.116
47,58.0,Ag-106,105.906665443,0.0,23.96M 4,-87.071
47,59.0,Ag-107,106.905092732,0.0,-1.0,-86.94200000000002
47,60.0,Ag-nat,107.8682,0.0002,,-88.4066
47,60.0,Ag-108,107.905951468,0.0,2.382M 1,-88.4066
47,61.0,Ag-109,108.904755649,0.0,-1.0,-87.6067
47,62.0,Ag-110,109.906110586,0.0,24.6S 2,-88.7199
47,63.0,Ag-111,110.905294151,0.0,7.45D 1,-87.4578
47,64.0,Ag-112,111.907048555,0.0,3.130H 9,-88.2163
47,65.0,Ag-113,112.906569499,0.0,5.37H 5,-86.5837
47,66.0,Ag-114,113.908823035,0.0,4.6S 1,-87.027
47,67.0,Ag-115,114.908766682,0.0,20.0M 5,-84.931
47,68.0,Ag-116,115.911386816,0.0,2.68M 10,-84.98299999999998
47,69.0,Ag-117,116.911774006,0.0,72.8S +20 -7,-82.54299999999998
47,70.0,Ag-118,117.91459549,0.0,3.76S 15,-82.182
47,71.0,Ag-119,118.915570299,0.0,2.1S 1,-79.5538
47,72.0,Ag-120,119.918784771,0.0,1.23S 4,-78.646
47,73.0,Ag-121,120.920125285,0.0,0.78S 1,-75.652
47,74.0,Ag-122,121.923664451,0.0,0.529S 13,-74.403
47,75.0,Ag-123,122.925337065,0.0,296S 6,-71.11
47,76.0,Ag-124,123.928931231,0.0002,0.172S 5,-69.55
47,77.0,Ag-125,124.93083,0.0002,0.166S 7,-66.2
47,78.0,Ag-126,125.93467,0.0002,107MS 12,-64.23
47,79.0,Ag-127,126.93691,0.0003,109MS 15,-60.78
47,80.0,Ag-128,127.94102,0.0003,58MS 5,-58.58
47,81.0,Ag-129,128.94357,0.0003,44MS 7,-54.9
47,82.0,Ag-130,129.950298,0.0003,50MS AP,-52.21
47,83.0,,,,,-45.92
48,47.0,Cd- 96,95.94034,0.0004,1.03S +24 -21,-46.63
48,48.0,Cd- 97,96.9351,0.0003,3S +4 -3,-55.57
