Z,N,Nuclide,Mass,Mass Uncertainty (%),Half Life,M
11,16.0,Na- 28,27.998939,0.0,30.5MS 4,-5.518
11,17.0,,,,,-0.988
11,18.0,Na- 29,29.002866,0.0,44.9MS 12,2.68
11,19.0,Na- 30,30.00899,0.0001,48MS 2,8.475
11,20.0,Na- 31,31.013461796,0.0004,17.0MS 4,12.261
11,21.0,Na- 32,32.020193,0.0004,13.2MS 4,18.81
11,22.0,Na- 33,33.02573,0.0019,8.0MS 3,23.97
11,23.0,Na- 34,34.03359,0.0016,5.5MS 10,31.29
11,24.0,Na- 35,35.040623,0.0018,1.5MS 5,37.84
11,25.0,,,,,45.91
11,26.0,Na- 37,37.057051,0.0018,,53.14
12,7.0,Mg- 19,19.034169186,0.0003,4.0PS 15,31.83
12,8.0,Mg- 20,20.018850079,0.0001,90.8MS 24,17.559
12,9.0,Mg- 21,21.011715377,0.0001,122MS 3,10.914
12,9.0,Mg- 22,21.999570648,0.0,3.8755S 12,10.914
12,10.0,Mg- 23,22.994124208,0.0,11.317S 11,-0.3999
12,11.0,Mg- 24,23.985041697,0.0,-1.0,-5.4733
12,12.0,Mg-nat,24.305,0.0025,,-13.9336
12,12.0,Mg- 25,24.985836977,0.0,-1.0,-13.9336
12,13.0,Mg- 26,25.982592968,0.0,-1.0,-13.1928
12,14.0,Mg- 27,26.984340625,0.0,9.458M 12,-16.2145
12,15.0,Mg- 28,27.983876775,0.0,20.915H 9,-14.5866
12,16.0,Mg- 29,28.988617393,0.0,1.30S 12,-15.0187
12,17.0,Mg- 30,29.990454,0.0,335MS 17,-10.603
12,18.0,Mg- 31,30.996575,0.0001,230MS 20,-8.884
12,19.0,Mg- 32,31.999021267,0.0001,86MS 5,-3.122
12,20.0,,,,,-0.8290000000000001
12,21.0,Mg- 33,33.005311,0.0001,90.5MS 16,4.9622
12,22.0,Mg- 34,34.00919,0.0003,20MS 10,8.323
12,23.0,Mg- 35,35.01679,0.0006,70MS 40,15.64
12,24.0,Mg- 36,36.021879,0.0014,3.9MS 13,20.38
12,25.0,Mg- 37,37.03037,0.0015,,28.29
12,26.0,Mg- 38,38.03658,0.0014,,34.07
12,27.0,,,,,42.28
12,28.0,Mg- 40,40.05218,0.0013,,48.61
13,8.0,,,,,26.99
13,9.0,Al- 22,22.01954,0.002,91.1MS 5,18.2
13,10.0,Al- 23,23.007244351,0.0,446MS 6,6.7481
13,10.0,Al- 24,23.999947502,0.0,2.053S 4,6.7481
13,11.0,Al- 25,24.990428092,0.0,7.183S 12,-0.0476
13,12.0,Al- 26,25.986891905,0.0,7.17E+5Y 24,-8.9162
13,13.0,Al-nat,26.9815386,0.0,,-12.2101
13,13.0,Al- 27,26.981538578,0.0,-1.0,-12.2101
13,14.0,Al- 28,27.981910257,0.0,2.2414M 12,-17.1968
13,15.0,Al- 29,28.980444997,0.0,6.56M 6,-16.8505
13,16.0,Al- 30,29.982960221,0.0001,3.60S 6,-18.2047
13,17.0,Al- 31,30.983945172,0.0001,644MS 25,-15.872
13,18.0,Al- 32,31.988124489,0.0003,33.0MS 2,-14.955
13,19.0,Al- 33,32.990942272,0.0002,41.7MS 2,-11.099
13,20.0,Al- 34,33.996728773,0.0002,56.3MS 5,-8.47
13,21.0,Al- 35,34.999764,0.0002,150MS 50,-3.07
13,22.0,,,,,-0.22
13,23.0,Al- 36,36.006388,0.0003,90MS 40,5.95
13,24.0,Al- 37,37.010531,0.0003,10.7MS 13,9.81
13,25.0,Al- 38,38.017402,0.0007,7.6MS 6,16.21
13,26.0,Al- 39,39.02254,0.0017,7.6MS 16,21.0
13,27.0,Al- 40,40.03003,0.0019,,27.97
13,28.0,Al- 41,41.03638,0.0021,,33.89
13,29.0,Al- 42,42.0445,0.0023,,40.84
13,30.0,Al- 43,43.05199,0.0023,,47.94
14,8.0,Si- 22,22.03543,0.002,29MS 2,33.34
14,9.0,Si- 23,23.02477,0.0019,42.3MS 4,23.7
14,10.0,Si- 24,24.011545614,0.0001,140MS 8,10.744000000000002
14,11.0,Si- 25,25.004108046,0.0,220MS 3,3.827
14,11.0,Si- 26,25.992333846,0.0,2.234S 13,3.827
14,12.0,Si- 27,26.986704857,0.0,4.16S 2,-7.14098
14,13.0,Si- 28,27.97692653465,0.0,-1.0,-12.3844
14,14.0,Si-nat,28.0855,0.0011,,-21.4928
14,14.0,Si- 29,28.97649466475,0.0,-1.0,-21.4928
14,15.0,Si- 30,29.973770136,0.0,-1.0,-21.8951
14,16.0,Si- 31,30.975363195,0.0,157.3M 3,-24.433000000000003
14,17.0,Si- 32,31.974151538,0.0,153Y 19,-22.949
14,18.0,Si- 33,32.977976964,0.0,6.18S 18,-24.0777
14,19.0,Si- 34,33.978575541,0.0,2.77S 20,-20.5143
14,20.0,Si- 35,34.984583473,0.0001,0.78S 12,-19.957
14,21.0,Si- 36,35.986669104,0.0002,0.45S 6,-14.36
14,22.0,Si- 37,36.99292074,0.0002,90MS 60,-12.39
14,23.0,Si- 38,37.995523,0.0002,,-6.59
14,24.0,,,,,-4.17
14,25.0,Si- 39,39.002491,0.0002,47.5MS 20,2.32
